Summons Number,Violation Code
999077846086,-99
999077846050,-99
999077835921,-99
999077835209,-99
999077165216,-99
999077102917,-99
999077095743,-99
999077095299,-99
999077055022,-99
999077025420,-99
999076975309,-99
999076925252,-99
999076870172,-99
999076870100,-99
999076830149,-99
999076730714,-99
999076730143,-99
999076682069,-99
999076680498,-99
999076585167,-99
999076580870,-99
999076575903,-99
999076540767,-99
999076506693,-99
999076506097,-99
999076485410,-99
999076444286,-99
999076440049,-99
999076438961,-99
999076438882,-99
999076437555,-99
999076435819,-99
999076416965,-99
999076395536,-99
999076395251,-99
999076375902,-99
999076375471,-99
999076365337,-99
999076350061,-99
999076331558,-99
999076330815,-99
999076330750,-99
999076321693,-99
999076315000,-99
999076310865,-99
999076306102,-99
999076306035,-99
999076275464,-99
999076265203,-99
999076215674,-99
999076215637,-99
999076215546,-99
999076211127,-99
999076210688,-99
999076210172,-99
999076195262,-99
999076182462,-99
999076181718,-99
999076165804,-99
999076147759,-99
999076146391,-99
999076146263,-99
999076120560,-99
999076110165,-99
999076110025,-99
999076055336,-99
999076055105,-99
999076045215,-99
999076035672,-99
999076035520,-99
999076035416,-99
999076021144,-99
999076010821,-99
999075946340,-99
999075945838,-99
999075927216,-99
999075925219,-99
999075920222,-99
999075915329,-99
999075915238,-99
999075910964,-99
999075910071,-99
999075895513,-99
999075892070,-99
999075890722,-99
999075846083,-99
999075840718,-99
999075840690,-99
999075797540,-99
999075790030,-99
999075755107,-99
999075750780,-99
999075736484,-99
999075736332,-99
999075705050,-99
999075701792,-99
999075680960,-99
999075675987,-99
999075675665,-99
999075665660,-99
999075660339,-99
999075655009,-99
999075651296,-99
999075650905,-99
999075649149,-99
999075649046,-99
999075648984,-99
999075641461,-99
999075640419,-99
999075620378,-99
999075610701,-99
999075588690,-99
999075585767,-99
999075570351,-99
999075555507,-99
999075555325,-99
999075545320,-99
999075521194,-99
999075520098,-99
999075517415,-99
999075515546,-99
999075501055,-99
999075490926,-99
999075490720,-99
999075490306,-99
999075481550,-99
999075480659,-99
999075461422,-99
999075453929,-99
999075452184,-99
999075451933,-99
999075450850,-99
999075435885,-99
999075435848,-99
999075435769,-99
999075432902,-99
999075410190,-99
999075361932,-99
999075361385,-99
999075350685,-99
999075345604,-99
999075330546,-99
999075305060,-99
999075300992,-99
999075286480,-99
999075285784,-99
999075285000,-99
999075268415,-99
999075267095,-99
999075266728,-99
999075266571,-99
999075250447,-99
999075244216,-99
999075242270,-99
999075241860,-99
999075240958,-99
999075231027,-99
999075220546,-99
999075216567,-99
999075192083,-99
999075191856,-99
999075191327,-99
999075190300,-99
999075170520,-99
999075167052,-99
999075166710,-99
999075160288,-99
999075156042,-99
999075150076,-99
999075140460,-99
999075130375,-99
999075130363,-99
999075125010,-99
999075105708,-99
999075100530,-99
999075100437,-99
999075091552,-99
999075080323,-99
999075075005,-99
999075070159,-99
999075066806,-99
999075062620,-99
999075060324,-99
999075056620,-99
999075051177,-99
999075046984,-99
999075045268,-99
999075016918,-99
999075015811,-99
999074996991,-99
999074991865,-99
999074990423,-99
999074981938,-99
999074981823,-99
999074977868,-99
999074977637,-99
999074975203,-99
999074966111,-99
999074963122,-99
999074961046,-99
999074961010,-99
999074960145,-99
999074959210,-99
999074950085,-99
999074945983,-99
999074945892,-99
999074945788,-99
999074945739,-99
999074943731,-99
999074943135,-99
999074936660,-99
999074930098,-99
999074925108,-99
999074920433,-99
999074920044,-99
